symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,EU.C021.C1,EU.C021.C2,EU.C021.C3,EU.C021.C4,EU.C021.C5,EU.C021.C6,EU.C021.C7,EU.C021.C8,EU.C021.C9,EU.C021.C10,EU.C21.ES_c21
MKI67,1900.8706399448877,-0.5425596950717948,0.45925215631321814,0.010672426699887964,0.0718340896812098,4282,805,2256,1290,1062,647,950,876,913,495,4432
MKKS,396.96561242603946,0.11118361441531306,0.14820898080022604,0.29260143165309643,0.583093168074282,651,296,565,345,412,347,357,419,401,302,352
MKLN1,2647.7902728994263,0.05420630981138652,0.1249974783329825,0.5695590371259893,0.8018673024749718,3263,2654,4327,3142,2787,2317,2818,2775,2786,2178,907
MKLN1-AS,97.02614593970006,-0.14233565038860066,0.24198004952926477,0.26394738215920305,0.5516150510940497,162,105,158,105,83,100,69,111,79,49,71
MKNK1,629.5451617144555,-0.13945990473681058,0.18730520435838643,0.2376264200330656,0.5215412673123199,511,697,906,695,729,581,439,744,537,478,588
MKNK1-AS1,8.321375774911116,-0.024928351201403964,0.3355330362769405,0.8141388969937234,0.9274451700096326,7,4,8,18,16,4,10,4,7,9,5
MKNK2,2730.9452550625047,-0.6922440520607199,0.18090103421424542,4.123427941046938e-6,1.1810120027375946e-4,3610,3994,5254,3829,2433,1563,1155,2309,1615,1445,3957
MKRN1,2447.720439871184,-0.2315275962513869,0.12604600916373795,0.02022293861953481,0.11343051026838841,3121,2443,3501,2675,3211,2260,1794,2516,2308,2012,1340
MKRN2,1298.7204157484068,0.08119568155907991,0.10561654606410965,0.34072358220981624,0.6293344845509489,1438,1195,1869,1361,1565,1419,1176,1463,1336,1111,677
MKRN2OS,13.739718944182412,-0.17707975892186206,0.4278164193648679,0.1600267232609558,0.41948606358107376,3,37,15,28,35,13,2,17,13,1,1
MKRN7P,10.23097398091161,0.07185976884577634,0.3630704784973527,0.5003748775130659,0.7560391783246035,12,15,14,0,10,14,5,13,16,14,0
MKS1,277.0721886993401,0.06805054541857793,0.1801474748852592,0.5466614471450395,0.7845425736508697,328,251,302,331,329,243,147,342,241,171,409
MKX,56.39189634875318,1.240561016849382,0.6309335989079463,2.9679615781563984e-4,0.004657802860155596,72,26,23,47,51,65,52,110,70,32,5
MLANA,16.40352198893905,0.07449331381767621,0.3594519639727157,0.49136790395316765,0.7498502339800762,15,20,37,5,2,16,6,8,24,6,2
MLEC,7151.647786006643,0.07221478661779672,0.1322804006696807,0.46437515263602047,0.7311681137122882,11715,6663,8424,7090,7913,6318,6095,7302,7302,5738,4636
MLF1,311.1193771547013,0.061485218171425986,0.15076919357168256,0.559456510176533,0.79410105465213765,401,276,378,285,291,231,221,268,248,231,467
MLF2,5092.386083968661,-0.008939224564026684,0.09901565296629967,0.9124373410439262,0.9663143731053135,4553,4709,7386,5844,7932,4783,3570,5503,4457,4191,4146
MLH1,909.0721538096539,0.06903830556316282,0.1195386183642443,0.4567941767611303,0.7252325110786473,1318,805,1085,886,993,815,742,890,853,660,916
MLH3,532.8499581849942,0.07483993345968268,0.15902627058543728,0.48881012639984417,0.7484092692668805,652,542,786,619,560,510,497,458,589,506,248
MLKL,19.399232260993294,-1.1314123544775372,0.9177113378506266,9.809467980555651e-4,0.011929970600096014,83,22,29,21,6,3,2,1,10,13,7
MLLT1,1261.0271461443226,0.11229009451263446,0.1500434752061408,0.29091692775125166,0.5807903944990913,1824,1241,1679,1006,1472,929,674,1539,922,951,1709
MLLT10,1543.4001383730995,-0.30972276439010593,0.2414560731058112,0.0320392206223261,0.1556110837555559,1805,1333,2506,1915,1575,1275,1402,1447,1559,1042,1058
MLLT11,4609.889534497937,0.2612060701259157,0.12558476269534488,0.009273422649189305,0.06583029660933086,5466,3549,6119,3965,6530,4747,4497,4864,4361,4293,2931
MLLT3,758.3192679228124,0.2702703555564301,0.16245770938809512,0.020990743691401793,0.11651039855571887,747,636,1113,803,930,617,804,909,956,613,409
MLLT6,1478.2203084682044,0.07105771941488953,0.13862934751992265,0.4828314058693661,0.7437917569825148,1621,1716,2359,1880,1775,1422,1023,1646,1198,1193,875
MLPH,57.405383105744924,-0.089750115063689,0.26346301090962315,0.4634714601007992,0.7305811800965869,271,72,48,41,70,33,19,43,60,32,6
MLST8,568.6404371463948,-0.3586609932441444,0.17768932927023504,0.00489395217334687,0.04116836946627004,749,556,860,566,592,361,269,455,449,363,1399
MLX,636.2924869092959,-0.01773947221397863,0.13100839504014916,0.8560289268072254,0.9435587180557825,679,568,927,706,739,544,485,694,672,438,577
MLXIP,2340.0714681490113,-0.08186271519911076,0.11013051795905991,0.3513332567823116,0.6391983789225364,3563,2524,3209,2396,2905,2117,1741,2838,2301,2018,1077
MLXIPL,11.470095268148329,-0.24162225735276335,0.4507340046400738,0.09453124186980146,0.3095064072043029,5,17,19,52,12,2,6,6,13,5,15
MLXP1,6.795321746386873,0.10955605870289829,0.4053631086211577,0.3019517351995063,0.5915051706195866,6,5,0,5,16,4,14,13,7,4,0
MLYCD,179.11974575179613,0.22096613021363912,0.23646153973746753,0.10142208078726549,0.32172224638787217,267,176,197,220,210,167,120,219,138,121,132
MMAA,241.3605994904024,-0.1965056593286642,0.24945869674557947,0.14404912071945486,0.39732673480970854,186,195,449,407,320,199,185,221,230,208,86
MMAB,428.3621324085823,0.03564637068737318,0.20452560737752157,0.7570943377215917,0.9028682510552164,756,259,399,359,358,253,170,331,202,148,1122
MMACHC,155.6031554739975,-0.20244029657142568,0.22614654585923025,0.12263367238468037,0.36147167899018406,159,145,193,194,168,107,103,136,141,82,221
MMADHC,2185.1438885791304,0.1759838381600425,0.10920851146645433,0.04827780334670042,0.20442721234935002,2465,1983,2384,1741,3219,2421,2157,2308,2248,1972,1371
MMADHC-DT,16.97972507829179,0.33421295649334964,0.5340297443910418,0.04266615588700007,0.1880767907976837,17,6,8,11,34,30,4,18,29,18,1
MMD,556.8291577623608,-0.08576027259572648,0.14422715097351238,0.4078270201812685,0.6894700397880754,1037,482,823,349,457,465,439,441,425,340,869
MME,1368.0360153744361,0.264645380509975,0.24768952463057173,0.06148554761068942,0.2378789791481214,3193,863,1364,1172,1311,1180,1360,1693,1417,1019,356
MMGT1,1469.3155987356479,-0.2322079271233822,0.16844932992964456,0.04817261392585716,0.20415896125227484,1516,1466,2610,1706,1245,1292,1544,1329,1422,1052,494
MMP1,69.65362043706858,1.4550742979734397,0.47263066428479583,1.439605543224706e-5,3.5932037908469565e-4,488,18,34,11,38,52,31,67,76,69,1
MMP10,49.0962879698171,0.7013678433302868,0.5010917788985082,0.003977545765544993,0.03503009451111302,93,25,27,32,67,75,38,59,59,47,4
MMP11,436.8941120712141,-0.3004958185221027,0.1997372808214394,0.022726174166811122,0.12348898673524637,1467,590,689,430,486,256,291,413,285,297,144
MMP12,64.20429764885964,2.5286675647181154,0.49127441833936547,1.4096424316405415e-9,8.750263689046008e-8,14,16,14,6,193,113,108,86,63,78,0
MMP14,21596.274747338648,0.03782573899939511,0.14228397510886098,0.711279379688317,0.8800343125396798,51928,20261,27144,20531,29220,20526,13771,25494,16667,20752,2504
MMP15,1414.9450217540202,-0.1109899285268656,0.14844457216899948,0.2938037419935654,0.5841852058654654,1533,1809,2156,1550,1627,1091,1049,1605,1056,1121,1209
MMP16,1951.0757887296966,1.0929354654989878,0.19739971470476997,1.0670335104348535e-9,6.774648500852162e-8,3140,1017,1508,948,2276,1956,2722,2436,2756,2102,304
MMP17,50.172527992323246,0.034099169655137394,0.249460636374246,0.7714799554442688,0.9095253779887474,162,31,58,26,31,12,16,30,23,38,279
MMP19,89.3646710531828,0.14419144262151776,0.25359628079317437,0.2627859179117239,0.5504954531790196,125,53,144,44,126,78,70,88,108,76,90
MMP2,32355.266909802696,0.8760460131446574,0.13610201417841858,7.673279425070703e-12,7.363702289645437e-10,67498,25718,36215,24017,39840,28935,26712,38710,32262,31817,4207
MMP21,12.231185681884124,-0.06901633904828884,0.3193154970684955,0.5498684167204964,0.787048073238372,16,21,14,13,14,10,21,15,9,6,3
MMP23B,68.48814075816499,0.0873489653884878,0.2732184156311327,0.47424852209037266,0.7373372273617358,65,60,88,48,25,38,17,82,18,50,393
MMP24,697.7503911544406,1.521452003017321,0.18233902026743037,1.0065909663413485e-18,2.435950138546063e-16,537,350,433,412,1011,896,691,1022,904,942,317
MMP24OS,1042.7204373510756,-0.09458840140478811,0.1390999565561767,0.3529816463716056,0.6406261559998855,763,1096,1795,1229,1582,1113,702,1026,826,905,615
MMP25,21.848509869409966,0.060735562844426605,0.3194615605308325,0.5943276582355879,0.8172005300739333,10,37,14,51,19,14,5,24,12,23,27
MMP25-AS1,124.86260130641199,-0.015746984131258343,0.18733884019085786,0.8888338066920753,0.9564463628304944,122,150,296,253,119,109,142,141,116,47,47
MMP28,16.12318487916351,0.18104290571048642,0.3780272272140583,0.17848329017212303,0.44804075130008525,5,11,24,5,23,21,9,35,19,15,4
MMP9,47.252548130151666,-0.09028507670901662,0.290655544708679,0.4587219778201676,0.7264844131763842,304,48,37,15,33,16,29,21,26,11,40
MMRN1,130.99375197245848,-0.5684044147403625,0.5624858829863397,0.010927509667645928,0.07301622906376619,350,48,176,126,32,15,36,68,46,5,539
MMRN2,22.515507398837187,0.21748537579597377,0.3832093088525524,0.1302247060083235,0.3763399343937324,34,26,16,29,21,26,20,20,14,12,16
MMS19,1582.648213449014,-0.006155852873542588,0.1221674888943665,0.9477076403511293,0.9801686081500871,1996,1335,1741,1437,1425,1153,1196,1669,1481,1173,2703
MMS22L,579.1748753267938,0.07919543307093245,0.21195450226518953,0.5033151424499849,0.7582421732794882,958,391,693,467,618,475,521,552,595,388,485
MMUT,773.0081531384109,0.18327704491957933,0.1414512904055403,0.0813929884201269,0.28301891622260084,793,663,951,850,900,777,667,1064,902,637,416
MN1,796.2680387602542,-0.1736578788055732,0.21847845177094333,0.1717528000021251,0.43825309511544697,1970,420,836,612,659,476,483,594,527,499,2180
MNAT1,558.9793115873849,5.632106794674772e-4,0.14615497452202483,0.995649707915135,0.9987599917557927,496,558,908,570,653,586,529,611,611,393,326
MND1,51.33015258340106,-0.12339912604668553,0.355408588136542,0.3110136896730477,0.6005905620632069,126,12,53,32,39,0,23,26,8,14,188
MNS1,49.388741330118364,-0.016339087323222097,0.26921578066116797,0.8879390235406239,0.9564463628304944,108,41,85,28,58,22,31,26,70,19,55
MNT,788.5019504127882,-0.12973279324474737,0.17171360424414983,0.2536945946606119,0.5399578880631087,1108,955,1560,895,737,673,514,785,502,516,731
MOAP1,963.73402323774,-0.05359095021845942,0.1294519077605674,0.5818072669227977,0.8089397108653373,1002,1094,1406,862,1530,932,770,1025,863,812,524
MOB1A,4564.861810548691,-0.07709150962101534,0.1176405178396436,0.4013550262187308,0.6844347479873284,4141,4536,8196,5483,4903,4348,5410,4495,4678,3529,2048
MOB1B,2529.3968604354377,-0.06884294571178026,0.10926826859323457,0.43031248620919116,0.7064884192008442,2128,2645,4183,2621,3053,2574,3106,2715,2464,2060,601
MOB2,255.7320653703435,0.036567674142330746,0.18834556756579354,0.7467146940880101,0.8983153264601887,194,188,314,369,355,284,139,317,189,229,257
MOB3A,702.8837697477339,-0.3801869598593327,0.18456286309729505,0.0038126009397219623,0.03394785686627002,863,779,1074,878,636,608,525,770,638,473,587
MOB3B,613.1564431365405,0.061636779256990834,0.14870368696306416,0.5560147855512241,0.7918091200237114,436,550,931,682,768,571,735,565,776,592,231
MOB3C,178.30602008664403,-0.23425998741578885,0.2024557934164649,0.06760236582931416,0.2532474725607499,172,231,325,180,265,165,118,159,157,136,123
MOB4,1645.4300576906105,0.16155183358096412,0.11556568077109525,0.07971066269753894,0.279703539122807,1541,1415,2432,1552,2479,1787,1785,1679,1599,1276,649
MOBP,5.804641192280497,0.13241771423410906,0.4553681780534184,0.18122324756367628,0.4523267246365122,3,0,5,0,13,17,2,10,8,1,2
MOCOS,70.99769482125829,0.0825155156624858,0.29761911711715155,0.4923209296480457,0.7501409372013962,152,47,84,31,32,77,59,73,66,44,30
MOCS1,285.031458708665,0.11797238002921634,0.1679298190958664,0.2926344391164272,0.583093168074282,288,200,263,189,261,261,156,241,259,178,423
MOCS2,921.233953849537,0.04369422341539708,0.12315141283768712,0.6434721751128356,0.8430012926003981,643,768,1510,1085,1325,1018,938,1041,1003,795,237
MOCS2-DT,40.91082349086564,-0.24892884422369033,0.3612432510007122,0.10020077519064026,0.319780035434582,27,60,40,70,65,26,37,40,39,21,10
MOCS3,273.2124893875866,0.07268825976147064,0.15668138494627043,0.4984838054877923,0.7550502755548126,257,277,353,264,340,277,198,269,307,227,251
MOGS,1541.1956987595092,0.07958776889569834,0.1522375312692578,0.453610929594487,0.7219898296033499,1717,1555,1934,1307,2272,1231,1100,1774,1184,1127,1703
MOK,128.0925389925387,-0.09687843676770064,0.19952071748417133,0.41087063967873827,0.6920231936005216,105,123,239,166,157,111,73,141,147,91,79
MON1A,149.83365172408386,-0.17873201042636286,0.2191681321682508,0.16145770880850283,0.4218383753823433,128,155,194,196,174,126,106,146,120,97,201
MON1B,1304.893015111273,0.03398138208587568,0.11276777290694702,0.7031466186298222,0.8773011678122858,1559,1477,2090,1495,1527,1100,1158,1301,1190,1033,806
MON2,2457.101897547643,0.05272639990656623,0.13544884760008447,0.5972308907683879,0.8184811621686287,2795,2289,3847,2592,2642,2182,2750,2685,2657,2057,811
MORC2,1423.4157919454751,0.11877638082477514,0.1278811695230645,0.22282048008732966,0.5047268574333174,2148,1135,1647,1095,1708,1085,1074,1386,1327,1051,1422
MORC3,1723.3318091486487,-0.07761125570701119,0.13477979050976108,0.4368291445111604,0.7110716567603194,1697,1738,2995,1881,1748,1758,2050,1900,2020,1221,452
MORC4,1208.2657747355815,0.4898318608275024,0.1532589512653092,6.20998220058986e-5,0.001254753161756563,1360,954,1475,997,1638,1441,1185,1608,1667,1262,165
MORF4L1,10420.314765267352,-0.09307532243965021,0.11026725225772212,0.29016930437541455,0.5804081270317049,12876,8909,14266,10109,14770,11033,8827,11007,10334,8933,6293
MORF4L2,7971.115860814743,0.3689323915193304,0.16533262287691808,0.0026586415487918507,0.025765523262754685,8908,6353,9823,6769,11099,8945,7293,8706,8363,7100,4621
MORF4L2-AS1,15.743284029806354,-0.10768324095036912,0.36776384621469244,0.3500848569808017,0.6379697633815811,16,13,38,6,17,13,9,7,14,0,25
MORN1,109.58435014795108,-0.18516655395891532,0.2698995097775183,0.17209287391822264,0.4386516270319771,127,111,124,106,132,80,39,110,71,66,216
MORN2,158.5665276762638,-0.19141066414485627,0.21689482274012503,0.13571377520528835,0.38500337917162863,167,128,311,208,155,154,140,156,122,128,116
MORN3,22.457145100307557,-0.1144034843059984,0.3282286803119041,0.3531155311907382,0.6406261559998855,12,28,30,14,31,22,21,18,5,17,24
MORN4,341.1839886023832,-0.12905254044299988,0.2199036024476294,0.29541625510331526,0.5858378042557436,512,362,567,339,330,235,245,267,245,164,501
